Date,Democratic,Republican
1990-01-28,66.92,48.85
1990-02-04,66.92,48.85
1990-02-11,67.46,49.33
1990-02-18,67.46,49.33
1990-02-25,67.20,49.17
1990-03-04,67.81,49.01
1990-03-11,67.33,48.65
1990-03-18,67.33,48.65
1990-03-25,66.52,48.15
1990-04-01,65.86,48.02
1990-04-08,65.55,48.12
1990-04-15,65.55,48.12
1990-04-22,65.55,48.12
1990-04-29,64.91,48.19
1990-05-06,65.38,48.58
1990-05-13,66.78,49.10
1990-05-20,66.91,48.86
1990-05-27,66.47,49.59
1990-06-03,66.47,49.59
1990-06-10,66.42,49.78
1990-06-17,66.64,49.93
1990-06-24,67.41,50.16
1990-07-01,66.34,51.01
1990-07-08,66.34,51.01
1990-07-15,66.63,49.68
1990-07-22,67.26,49.33
1990-07-29,65.63,48.93
1990-08-05,64.25,52.56
1990-08-12,64.25,52.56
1990-08-19,64.25,52.56
1990-08-26,64.25,52.56
1990-09-02,64.25,52.56
1990-09-09,64.25,52.56
1990-09-16,63.81,52.28
1990-09-23,63.68,52.25
1990-09-30,63.37,52.48
1990-10-07,63.37,52.48
1990-10-14,63.63,51.71
1990-10-21,61.44,51.34
1990-10-28,62.05,51.91
1990-11-04,62.05,51.91
1990-11-11,62.05,51.91
1990-11-18,62.05,51.91
1990-11-25,62.05,51.91
1990-12-02,62.05,51.91
1990-12-09,62.05,51.91
1990-12-16,62.05,51.91
1990-12-23,62.05,51.91
1990-12-30,62.05,51.91
1991-01-06,62.05,51.91
1991-01-13,62.07,52.32
1991-01-20,62.07,52.32
1991-01-27,62.07,52.32
1991-02-03,62.07,52.32
1991-02-10,62.07,52.32
1991-02-17,62.07,52.32
1991-02-24,61.34,52.45
1991-03-03,61.80,52.50
1991-03-10,61.02,53.12
1991-03-17,60.75,53.14
1991-03-24,61.15,53.45
1991-03-31,61.15,53.45
1991-04-07,61.15,53.45
1991-04-14,61.15,53.45
1991-04-21,60.74,53.22
1991-04-28,59.66,53.28
1991-05-05,59.66,53.28
1991-05-12,59.89,53.19
1991-05-19,60.04,53.74
1991-05-26,62.07,56.05
1991-06-02,62.07,56.05
1991-06-09,62.13,55.99
1991-06-16,61.19,56.01
1991-06-23,60.63,55.53
1991-06-30,60.06,55.79
1991-07-07,60.06,55.79
1991-07-14,60.09,56.10
1991-07-21,60.44,56.48
1991-07-28,61.38,56.35
1991-08-04,60.03,57.18
1991-08-11,60.03,57.18
1991-08-18,60.03,57.18
1991-08-25,60.03,57.18
1991-09-01,60.03,57.18
1991-09-08,60.03,57.18
1991-09-15,59.92,56.90
1991-09-22,59.97,56.99
1991-09-29,60.47,57.52
1991-10-06,61.30,57.43
1991-10-13,61.37,57.39
1991-10-20,61.77,57.70
1991-10-27,62.15,57.85
1991-11-03,62.00,56.97
1991-11-10,61.77,57.02
1991-11-17,61.59,56.93
1991-11-24,60.68,57.26
1991-12-01,60.44,57.49
1991-12-08,60.44,57.49
1991-12-15,60.44,57.49
1991-12-22,60.44,57.49
1991-12-29,60.44,57.49
1992-01-05,60.44,57.49
1992-01-12,60.44,57.49
1992-01-19,60.44,57.49
1992-01-26,60.50,57.24
1992-02-02,60.61,57.22
1992-02-09,60.20,57.22
1992-02-16,60.20,57.22
1992-02-23,58.83,57.09
1992-03-01,59.21,57.26
1992-03-08,59.21,57.26
1992-03-15,59.23,58.36
1992-03-22,59.62,58.68
1992-03-29,59.42,58.96
1992-04-05,59.91,58.79
1992-04-12,59.66,59.21
1992-04-19,59.66,59.21
1992-04-26,59.66,59.21
1992-05-03,59.64,59.55
1992-05-10,60.07,59.75
1992-05-17,60.70,60.22
1992-05-24,62.12,60.52
1992-05-31,62.12,60.52
1992-06-07,62.67,60.12
1992-06-14,62.84,60.19
1992-06-21,63.05,60.15
1992-06-28,63.29,60.46
1992-07-05,62.86,60.46
1992-07-12,62.86,60.46
1992-07-19,62.86,60.46
1992-07-26,62.76,60.62
1992-08-02,61.11,60.13
1992-08-09,60.85,59.29
1992-08-16,61.15,59.11
1992-08-23,61.15,59.11
1992-08-30,61.15,59.11
1992-09-06,61.15,59.11
1992-09-13,59.80,59.34
1992-09-20,60.07,59.25
1992-09-27,59.91,58.66
1992-10-04,61.71,57.89
1992-10-11,62.16,57.22
1992-10-18,62.16,57.22
1992-10-25,62.16,57.22
1992-11-01,62.16,57.22
1992-11-08,62.16,57.22
1992-11-15,62.16,57.22
1992-11-22,62.16,57.22
1992-11-29,62.16,57.22
1992-12-06,62.16,57.22
1992-12-13,62.16,57.22
1992-12-20,62.16,57.22
1992-12-27,62.16,57.22
1993-01-03,62.16,57.22
1993-01-10,62.16,57.22
1993-01-17,62.16,57.22
1993-01-24,62.16,57.22
1993-01-31,62.16,57.22
1993-02-07,63.56,57.46
1993-02-14,63.56,57.46
1993-02-21,63.37,57.49
1993-02-28,63.53,57.04
1993-03-07,64.42,57.80
1993-03-14,65.14,58.56
1993-03-21,66.49,59.78
1993-03-28,69.21,63.75
1993-04-04,70.54,65.73
1993-04-11,70.67,65.90
1993-04-18,70.67,65.90
1993-04-25,70.93,66.41
1993-05-02,71.19,66.51
1993-05-09,71.30,66.27
1993-05-16,71.51,66.06
1993-05-23,71.51,66.06
1993-05-30,70.81,66.91
1993-06-06,70.81,66.91
1993-06-13,70.98,68.61
1993-06-20,71.05,69.11
1993-06-27,69.89,71.48
1993-07-04,69.95,71.23
1993-07-11,69.95,71.23
1993-07-18,70.21,71.12
1993-07-25,71.11,70.87
1993-08-01,70.26,70.15
1993-08-08,70.66,68.19
1993-08-15,70.66,68.19
1993-08-22,70.66,68.19
1993-08-29,70.66,68.19
1993-09-05,70.66,68.19
1993-09-12,69.39,68.35
1993-09-19,68.26,67.59
1993-09-26,66.85,66.50
1993-10-03,66.67,65.62
1993-10-10,66.73,65.13
1993-10-17,66.16,64.70
1993-10-24,66.37,64.40
1993-10-31,66.50,64.62
1993-11-07,66.20,64.64
1993-11-14,65.32,64.82
1993-11-21,65.60,62.18
1993-11-28,65.60,62.18
1993-12-05,65.60,62.18
1993-12-12,65.60,62.18
1993-12-19,65.60,62.18
1993-12-26,65.60,62.18
1994-01-02,65.60,62.18
1994-01-09,65.60,62.18
1994-01-16,65.60,62.18
1994-01-23,65.60,62.18
1994-01-30,65.44,61.46
1994-02-06,65.89,61.58
1994-02-13,67.04,61.56
1994-02-20,67.04,61.56
1994-02-27,67.21,61.48
1994-03-06,67.01,61.76
1994-03-13,66.94,62.54
1994-03-20,67.34,62.87
1994-03-27,68.67,62.37
1994-04-03,68.67,62.37
1994-04-10,68.67,62.37
1994-04-17,69.14,62.23
1994-04-24,68.34,61.70
1994-05-01,68.34,61.70
1994-05-08,67.97,61.49
1994-05-15,68.04,61.69
1994-05-22,67.57,61.61
1994-05-29,68.17,61.43
1994-06-05,68.17,61.43
1994-06-12,68.48,61.14
1994-06-19,70.02,62.91
1994-06-26,69.86,62.09
1994-07-03,68.46,61.86
1994-07-10,68.46,61.86
1994-07-17,68.27,62.52
1994-07-24,66.47,60.58
1994-07-31,66.17,60.02
1994-08-07,65.89,59.59
1994-08-14,65.95,59.58
1994-08-21,66.35,59.63
1994-08-28,66.77,59.77
1994-09-04,66.77,59.77
1994-09-11,66.77,59.77
1994-09-18,67.02,59.37
1994-09-25,67.26,58.81
1994-10-02,67.43,58.65
1994-10-09,68.11,57.62
1994-10-16,68.11,57.62
1994-10-23,68.11,57.62
1994-10-30,68.11,57.62
1994-11-06,68.11,57.62
1994-11-13,68.11,57.62
1994-11-20,68.11,57.62
1994-11-27,68.11,57.62
1994-12-04,67.85,57.51
1994-12-11,67.85,57.51
1994-12-18,67.85,57.51
1994-12-25,67.85,57.51
1995-01-01,67.85,57.51
1995-01-08,67.38,58.52
1995-01-15,67.63,60.32
1995-01-22,68.16,62.63
1995-01-29,68.69,65.79
1995-02-05,68.69,65.79
1995-02-12,68.76,66.09
1995-02-19,68.20,67.33
1995-02-26,67.73,68.14
1995-03-05,66.81,70.52
1995-03-12,67.11,70.50
1995-03-19,66.98,70.88
1995-03-26,67.17,71.42
1995-04-02,66.69,71.67
1995-04-09,66.76,71.64
1995-04-16,66.76,71.64
1995-04-23,66.76,71.64
1995-04-30,66.56,71.56
1995-05-07,66.69,71.33
1995-05-14,66.31,71.15
1995-05-21,65.86,71.14
1995-05-28,66.98,74.13
1995-06-04,66.98,74.13
1995-06-11,66.85,73.30
1995-06-18,65.82,73.53
1995-06-25,65.24,72.65
1995-07-02,64.49,72.83
1995-07-09,64.49,72.83
1995-07-16,64.77,73.19
1995-07-23,65.04,72.88
1995-07-30,64.81,71.24
1995-08-06,65.31,70.90
1995-08-13,63.73,70.95
1995-08-20,63.73,70.95
1995-08-27,63.73,70.95
1995-09-03,63.73,70.95
1995-09-10,63.62,71.52
1995-09-17,64.90,71.92
1995-09-24,63.84,71.11
1995-10-01,65.29,71.43
1995-10-08,65.29,71.43
1995-10-15,65.74,71.56
1995-10-22,65.03,71.90
1995-10-29,67.00,74.56
1995-11-05,66.73,74.26
1995-11-12,67.70,74.70
1995-11-19,68.22,75.68
1995-11-26,68.22,75.68
1995-12-03,68.03,75.79
1995-12-10,67.82,75.67
1995-12-17,67.26,75.47
1995-12-24,67.53,75.92
1995-12-31,67.53,75.92
1996-01-07,67.53,75.92
1996-01-14,67.53,75.92
1996-01-21,67.53,75.92
1996-01-28,67.80,76.14
1996-02-04,67.89,76.20
1996-02-11,66.62,75.19
1996-02-18,66.62,75.19
1996-02-25,66.62,75.19
1996-03-03,66.78,75.38
1996-03-10,66.77,75.63
1996-03-17,68.18,75.80
1996-03-24,68.70,75.27
1996-03-31,68.40,75.87
1996-04-07,68.40,75.87
1996-04-14,68.40,75.87
1996-04-21,68.82,76.49
1996-04-28,69.52,76.77
1996-05-05,67.24,76.88
1996-05-12,67.72,77.20
1996-05-19,67.98,77.88
1996-05-26,69.83,77.31
1996-06-02,69.83,77.31
1996-06-09,69.85,77.52
1996-06-16,70.00,77.63
1996-06-23,70.13,77.55
1996-06-30,69.64,77.73
1996-07-07,69.64,77.73
1996-07-14,69.91,77.54
1996-07-21,69.17,77.98
1996-07-28,67.87,75.40
1996-08-04,66.66,74.68
1996-08-11,66.66,74.68
1996-08-18,66.66,74.68
1996-08-25,66.66,74.68
1996-09-01,66.66,74.68
1996-09-08,66.25,73.69
1996-09-15,66.08,73.67
1996-09-22,66.16,73.46
1996-09-29,66.19,72.92
1996-10-06,66.09,72.95
1996-10-13,66.09,72.95
1996-10-20,66.09,72.95
1996-10-27,66.09,72.95
1996-11-03,66.09,72.95
1996-11-10,66.09,72.95
1996-11-17,66.09,72.95
1996-11-24,66.09,72.95
1996-12-01,66.09,72.95
1996-12-08,66.09,72.95
1996-12-15,66.09,72.95
1996-12-22,66.09,72.95
1996-12-29,66.09,72.95
1997-01-05,66.09,72.95
1997-01-12,66.09,72.95
1997-01-19,66.09,72.95
1997-01-26,66.09,72.95
1997-02-02,66.09,72.95
1997-02-09,66.09,72.95
1997-02-16,66.10,73.22
1997-02-23,66.10,73.22
1997-03-02,66.23,74.52
1997-03-09,66.12,74.65
1997-03-16,66.12,74.65
1997-03-23,66.49,74.66
1997-03-30,66.49,74.66
1997-04-06,66.49,74.66
1997-04-13,65.93,75.05
1997-04-20,65.86,75.46
1997-04-27,66.88,73.92
1997-05-04,67.35,74.04
1997-05-11,67.61,73.53
1997-05-18,67.48,73.31
1997-05-25,67.13,72.23
1997-06-01,67.13,72.23
1997-06-08,67.29,72.40
1997-06-15,67.74,72.47
1997-06-22,67.20,72.79
1997-06-29,66.13,73.27
1997-07-06,66.13,73.27
1997-07-13,65.54,73.15
1997-07-20,64.80,72.78
1997-07-27,64.09,71.53
1997-08-03,63.89,71.59
1997-08-10,63.89,71.59
1997-08-17,63.89,71.59
1997-08-24,63.89,71.59
1997-08-31,63.89,71.59
1997-09-07,64.48,70.95
1997-09-14,64.97,71.05
1997-09-21,65.91,69.64
1997-09-28,65.89,70.04
1997-10-05,65.79,69.63
1997-10-12,66.76,69.98
1997-10-19,66.76,69.98
1997-10-26,67.25,70.05
1997-11-02,67.12,70.28
1997-11-09,66.73,70.27
1997-11-16,66.73,70.27
1997-11-23,66.73,70.27
1997-11-30,66.73,70.27
1997-12-07,66.73,70.27
1997-12-14,66.73,70.27
1997-12-21,66.73,70.27
1997-12-28,66.73,70.27
1998-01-04,66.73,70.27
1998-01-11,66.73,70.27
1998-01-18,66.73,70.27
1998-01-25,66.73,70.27
1998-02-01,66.90,69.97
1998-02-08,66.40,70.51
1998-02-15,67.07,69.64
1998-02-22,67.07,69.64
1998-03-01,67.79,69.68
1998-03-08,68.01,69.20
1998-03-15,67.88,68.93
1998-03-22,67.92,69.40
1998-03-29,68.35,68.39
1998-04-05,70.55,70.41
1998-04-12,70.55,70.41
1998-04-19,70.55,70.41
1998-04-26,71.38,71.27
1998-05-03,71.02,70.34
1998-05-10,71.81,69.61
1998-05-17,70.86,69.87
1998-05-24,70.12,69.68
1998-05-31,70.12,69.68
1998-06-07,70.23,69.52
1998-06-14,71.27,70.10
1998-06-21,71.67,70.07
1998-06-28,70.96,69.51
1998-07-05,70.96,69.51
1998-07-12,70.12,70.18
1998-07-19,69.84,68.79
1998-07-26,69.74,69.12
1998-08-02,70.18,69.18
1998-08-09,70.18,69.18
1998-08-16,70.18,69.18
1998-08-23,70.18,69.18
1998-08-30,70.18,69.18
1998-09-06,70.31,69.42
1998-09-13,70.52,69.60
1998-09-20,70.56,70.01
1998-09-27,70.44,70.61
1998-10-04,70.38,70.57
1998-10-11,70.25,70.14
1998-10-18,70.25,70.14
1998-10-25,70.18,69.91
1998-11-01,70.18,69.91
1998-11-08,70.18,69.91
1998-11-15,70.18,69.91
1998-11-22,70.18,69.91
1998-11-29,70.18,69.91
1998-12-06,70.18,69.91
1998-12-13,70.18,69.91
1998-12-20,70.18,69.91
1998-12-27,70.18,69.91
1999-01-03,70.18,69.91
1999-01-10,70.18,69.91
1999-01-17,70.18,69.91
1999-01-24,70.18,69.91
1999-01-31,70.90,70.84
1999-02-07,70.96,71.03
1999-02-14,71.37,70.95
1999-02-21,71.37,70.95
1999-02-28,71.17,71.07
1999-03-07,71.44,71.36
1999-03-14,72.26,73.17
1999-03-21,71.91,72.86
1999-03-28,73.17,74.05
1999-04-04,73.17,74.05
1999-04-11,73.17,74.05
1999-04-18,73.66,74.15
1999-04-25,73.79,74.26
1999-05-02,74.19,74.57
1999-05-09,74.34,74.56
1999-05-16,74.61,74.53
1999-05-23,74.71,73.63
1999-05-30,74.01,72.78
1999-06-06,74.01,72.78
1999-06-13,73.23,73.32
1999-06-20,73.28,72.59
1999-06-27,73.08,72.68
1999-07-04,73.01,72.99
1999-07-11,73.01,72.99
1999-07-18,74.83,74.33
1999-07-25,75.09,74.34
1999-08-01,77.08,75.01
1999-08-08,77.24,73.83
1999-08-15,77.24,73.83
1999-08-22,77.24,73.83
1999-08-29,77.24,73.83
1999-09-05,77.24,73.83
1999-09-12,77.06,74.15
1999-09-19,76.40,73.91
1999-09-26,76.73,74.45
1999-10-03,77.67,75.04
1999-10-10,78.04,74.99
1999-10-17,78.00,74.83
1999-10-24,77.85,74.85
1999-10-31,77.96,74.86
1999-11-07,76.00,74.68
1999-11-14,76.46,74.45
1999-11-21,75.86,74.34
1999-11-28,75.86,74.34
1999-12-05,75.86,74.34
1999-12-12,75.86,74.34
1999-12-19,75.86,74.34
1999-12-26,75.86,74.34
2000-01-02,75.86,74.34
2000-01-09,75.86,74.34
2000-01-16,75.86,74.34
2000-01-23,75.86,74.34
2000-01-30,75.86,74.34
2000-02-06,75.69,74.54
2000-02-13,75.66,74.40
2000-02-20,75.66,74.40
2000-02-27,75.66,74.40
2000-03-05,75.13,75.61
2000-03-12,75.76,74.59
2000-03-19,75.76,74.59
2000-03-26,75.81,74.68
2000-04-02,75.21,74.84
2000-04-09,77.22,75.09
2000-04-16,77.76,75.38
2000-04-23,77.76,75.38
2000-04-30,77.70,75.61
2000-05-07,77.88,76.10
2000-05-14,77.33,76.23
2000-05-21,77.39,76.45
2000-05-28,77.73,75.68
2000-06-04,77.73,75.68
2000-06-11,77.54,75.34
2000-06-18,77.01,75.28
2000-06-25,77.23,75.39
2000-07-02,78.23,75.85
2000-07-09,78.23,75.85
2000-07-16,79.05,76.15
2000-07-23,78.91,76.23
2000-07-30,78.90,76.22
2000-08-06,78.90,76.22
2000-08-13,78.90,76.22
2000-08-20,78.90,76.22
2000-08-27,78.90,76.22
2000-09-03,78.90,76.22
2000-09-10,78.47,75.92
2000-09-17,76.47,73.91
2000-09-24,76.67,73.23
2000-10-01,76.76,73.36
2000-10-08,76.80,73.43
2000-10-15,76.03,73.17
2000-10-22,76.03,73.17
2000-10-29,75.66,72.85
2000-11-05,75.49,72.96
2000-11-12,75.49,72.96
2000-11-19,75.49,72.96
2000-11-26,75.49,72.96
2000-12-03,75.49,72.96
2000-12-10,75.05,73.23
2000-12-17,75.05,73.23
2000-12-24,75.05,73.23
2000-12-31,75.05,73.23
2001-01-07,75.05,73.23
2001-01-14,75.05,73.23
2001-01-21,75.05,73.23
2001-01-28,75.05,73.23
2001-02-04,74.65,73.50
2001-02-11,74.65,73.50
2001-02-18,74.65,73.50
2001-02-25,74.65,73.50
2001-03-04,74.65,73.50
2001-03-11,74.41,74.09
2001-03-18,73.27,74.88
2001-03-25,73.54,73.89
2001-04-01,72.98,73.54
2001-04-08,73.99,75.11
2001-04-15,73.99,75.11
2001-04-22,73.99,75.11
2001-04-29,73.99,75.11
2001-05-06,74.12,74.81
2001-05-13,74.74,74.44
2001-05-20,75.27,73.40
2001-05-27,74.50,77.84
2001-06-03,74.50,77.84
2001-06-10,74.16,77.57
2001-06-17,74.05,77.78
2001-06-24,74.18,77.82
2001-07-01,76.17,77.44
2001-07-08,76.17,77.44
2001-07-15,75.55,77.64
2001-07-22,75.48,77.54
2001-07-29,76.15,76.42
2001-08-05,75.67,75.99
2001-08-12,75.67,75.99
2001-08-19,75.67,75.99
2001-08-26,75.67,75.99
2001-09-02,75.67,75.99
2001-09-09,75.85,75.59
2001-09-16,75.54,75.42
2001-09-23,75.54,75.42
2001-09-30,75.32,74.85
2001-10-07,75.40,74.77
2001-10-14,75.47,74.86
2001-10-21,75.59,74.98
2001-10-28,75.46,75.00
2001-11-04,75.81,74.66
2001-11-11,76.33,73.99
2001-11-18,76.24,74.09
2001-11-25,76.24,74.09
2001-12-02,76.24,74.09
2001-12-09,76.77,72.66
2001-12-16,76.93,71.80
2001-12-23,77.16,71.21
2001-12-30,77.16,71.21
2002-01-06,77.16,71.21
2002-01-13,77.16,71.21
2002-01-20,77.16,71.21
2002-01-27,77.32,71.15
2002-02-03,77.28,70.77
2002-02-10,77.15,70.45
